bytes_cfg,bytes_ckpt,bytes_pred,example_cfg,example_ckpt,example_pred,excluded,experiment_id,n_cfg,n_ckpt,n_pred,path,scanned
83436,1128395883,51111174,experiments/baselines/s0_007_codetr_bbox_seed42/mmdet_config.py,experiments/baselines/s0_007_codetr_bbox_seed42/best_val_mAP_epoch_12.pth,experiments/baselines/s0_007_codetr_bbox_seed42/predictions/reeval_score_thr_0/predictions.pkl,False,baselines/s0/codetr_bbox@val,4,2,1,experiments/baselines/_legacy_score_thr_0/s0_007_codetr_bbox_seed42,experiments/baselines/_legacy_score_thr_0/s0_007_codetr_bbox_seed42|experiments/baselines/s0_007_codetr_bbox_seed42
83446,1128398827,50845920,experiments/baselines/s0_008_codetr_bbox_seed123/mmdet_config.py,experiments/baselines/s0_008_codetr_bbox_seed123/best_val_mAP_epoch_12.pth,experiments/baselines/s0_008_codetr_bbox_seed123/predictions/reeval_score_thr_0/predictions.pkl,False,baselines/s0/codetr_bbox@val,4,2,1,experiments/baselines/_legacy_score_thr_0/s0_008_codetr_bbox_seed123,experiments/baselines/_legacy_score_thr_0/s0_008_codetr_bbox_seed123|experiments/baselines/s0_008_codetr_bbox_seed123
83446,1128398443,50937190,experiments/baselines/s0_009_codetr_bbox_seed456/mmdet_config.py,experiments/baselines/s0_009_codetr_bbox_seed456/best_val_mAP_epoch_12.pth,experiments/baselines/s0_009_codetr_bbox_seed456/predictions/reeval_score_thr_0/predictions.pkl,False,baselines/s0/codetr_bbox@val,4,2,1,experiments/baselines/_legacy_score_thr_0/s0_009_codetr_bbox_seed456,experiments/baselines/_legacy_score_thr_0/s0_009_codetr_bbox_seed456|experiments/baselines/s0_009_codetr_bbox_seed456
0,0,0,,,,False,baselines/s0/relationdetr_bbox@val,0,0,0,experiments/baselines/_legacy_score_thr_0/s0_016_relationdetr_bbox_seed42,experiments/baselines/_legacy_score_thr_0/s0_016_relationdetr_bbox_seed42
0,0,0,,,,False,baselines/s0/relationdetr_bbox@val,0,0,0,experiments/baselines/_legacy_score_thr_0/s0_017_relationdetr_bbox_seed123,experiments/baselines/_legacy_score_thr_0/s0_017_relationdetr_bbox_seed123
0,0,0,,,,False,baselines/s0/relationdetr_bbox@val,0,0,0,experiments/baselines/_legacy_score_thr_0/s0_018_relationdetr_bbox_seed456,experiments/baselines/_legacy_score_thr_0/s0_018_relationdetr_bbox_seed456
0,0,0,,,,False,baselines/s0/stabledino_bbox@val,0,0,0,experiments/baselines/_legacy_score_thr_0/s0_019_stabledino_bbox_seed42,experiments/baselines/_legacy_score_thr_0/s0_019_stabledino_bbox_seed42
0,0,0,,,,False,baselines/s0/stabledino_bbox@val,0,0,0,experiments/baselines/_legacy_score_thr_0/s0_020_stabledino_bbox_seed123,experiments/baselines/_legacy_score_thr_0/s0_020_stabledino_bbox_seed123
0,0,0,,,,False,baselines/s0/stabledino_bbox@val,0,0,0,experiments/baselines/_legacy_score_thr_0/s0_021_stabledino_bbox_seed456,experiments/baselines/_legacy_score_thr_0/s0_021_stabledino_bbox_seed456
0,0,0,,,,False,baselines/s0/dimaskdino_bbox@val,0,0,0,experiments/baselines/_legacy_score_thr_0/s0_022_dimaskdino_bbox_seed42,experiments/baselines/_legacy_score_thr_0/s0_022_dimaskdino_bbox_seed42
